"Position","Team","W","L","PCT","GB","HOME","AWAY","DIV","CONF","PPG","OPP.PPG","DIFF","STRK","L10","CAT","YEAR","ACT_TEAM"
1,"1z --MILMilwaukee Bucks",56,17,0.767,"-","30-5","26-12","13-1","37-7",118.7,108.6,10.1,"L1","3-7","E","2019","MIL"
2,"2y --TORToronto Raptors",53,19,0.736,"2.5","26-10","27-9","9-5","34-11",112.8,106.5,6.3,"W4","9-1","E","2019","TOR"
1,"1z --LALLos Angeles Lakers",52,19,0.732,"-","25-10","27-9","10-3","36-10",113.4,107.6,5.8,"L1","4-6","W","2019","LAL"
2,"2x --LACLA Clippers",49,23,0.681,"3.5","27-9","22-14","8-6","32-16",116.3,109.9,6.4,"W2","6-4","W","2019","LAC"
3,"3x --BOSBoston Celtics",48,24,0.667,"7.5","26-10","22-14","9-6","30-13",113.7,107.3,6.4,"L1","6-4","E","2019","BOS"
3,"3y --DENDenver Nuggets",46,27,0.63,"7","26-11","20-16","12-2","29-16",111.3,109.2,2.1,"L3","4-6","W","2019","DEN"
4,"4x --INDIndiana Pacers",45,28,0.616,"11","25-11","20-17","8-7","28-19",109.4,107.5,1.9,"W2","7-3","E","2019","IND"
4,"4y --HOUHouston Rockets",44,28,0.611,"8.5","24-12","20-16","8-5","28-19",117.8,114.8,3,"L3","5-5","W","2019","HOU"
5,"5x --OKCOklahoma City Thunder",44,28,0.611,"8.5","23-14","21-14","8-5","27-19",110.4,108.4,2,"L1","6-4","W","2019","OKC"
6,"6x --UTAHUtah Jazz",44,28,0.611,"8.5","23-12","21-16","5-7","24-21",111.3,108.8,2.5,"W1","4-6","W","2019","UTA"
5,"5y --MIAMiami Heat",44,29,0.603,"12","29-7","15-22","10-4","30-13",112,109.1,2.9,"L2","4-6","E","2019","MIA"
6,"6x --PHIPhiladelphia 76ers",43,30,0.589,"13","31-4","12-26","11-5","28-18",110.7,108.4,2.3,"W1","5-5","E","2019","PHI"
7,"7x --DALDallas Mavericks",43,32,0.573,"11","20-18","23-14","10-4","27-20",117,112.1,4.9,"L2","4-6","W","2019","DAL"
7,"7x --BKNBrooklyn Nets",35,37,0.486,"20.5","20-16","15-21","6-10","23-23",111.8,112.4,-0.6,"L1","7-3","E","2019","BKN"
8,"8xp --PORPortland Trail Blazers",35,39,0.473,"18.5","21-15","14-24","5-8","20-27",115,116.1,-1.1,"W3","7-3","W","2019","POR"
9,"pb --MEMMemphis Grizzlies",34,39,0.466,"19","20-17","14-22","4-9","20-26",112.6,113.7,-1.1,"W1","3-7","W","2019","MEM"
10,"e --PHXPhoenix Suns",34,39,0.466,"19","17-22","17-17","6-9","19-27",113.6,113.4,0.2,"W8","9-1","W","2019","PHX"
11,"e --SASan Antonio Spurs",32,39,0.451,"20","19-15","13-24","7-6","20-23",114.1,115.2,-1.1,"L1","6-4","W","2019","SAS"
